NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NIPAL3	NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]	1017	1.4027479887008667	-0.06358494	No	
row_1	SLC26A11	solute carrier family 26 member 11 [Source:HGNC Symbol;Acc:HGNC:14471]	1138	1.2976189851760864	-0.061946273	No	
row_2	SLC52A1	solute carrier family 52 member 1 [Source:HGNC Symbol;Acc:HGNC:30225]	1166	1.280918002128601	-0.053592138	No	
row_3	SERINC5	serine incorporator 5 [Source:HGNC Symbol;Acc:HGNC:18825]	1340	1.1397720575332642	-0.057131976	No	
row_4	DGAT1	diacylglycerol O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:2843]	1528	1.0046449899673462	-0.06279415	No	
row_5	LPAR3	lysophosphatidic acid receptor 3 [Source:HGNC Symbol;Acc:HGNC:14298]	1557	0.9797899723052979	-0.056945167	No	
row_6	ARV1	ARV1 homolog, fatty acid homeostasis modulator [Source:HGNC Symbol;Acc:HGNC:29561]	1672	0.8930659890174866	-0.058131162	No	
row_7	TMEM35A	transmembrane protein 35A [Source:HGNC Symbol;Acc:HGNC:25864]	1837	0.7644460201263428	-0.06403869	No	
row_8	PANX1	pannexin 1 [Source:HGNC Symbol;Acc:HGNC:8599]	1873	0.7426180243492126	-0.060620397	No	
row_9	ABCB9	ATP binding cassette subfamily B member 9 [Source:HGNC Symbol;Acc:HGNC:50]	1965	0.6777229905128479	-0.06185104	No	
row_10	CISD2	CDGSH iron sulfur domain 2 [Source:HGNC Symbol;Acc:HGNC:24212]	2153	0.5517579913139343	-0.07117011	No	
row_11	TMEM43	transmembrane protein 43 [Source:HGNC Symbol;Acc:HGNC:28472]	2510	0.31957700848579407	-0.094812386	No	
row_12	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group) [Source:HGNC Symbol;Acc:HGNC:74]	2951	0.09496600180864334	-0.12645571	No	
row_13	KCNJ2	potassium inwardly rectifying channel subfamily J member 2 [Source:HGNC Symbol;Acc:HGNC:6263]	3183	0.0017369999550282955	-0.143457	No	
row_14	ACVR2A	activin A receptor type 2A [Source:HGNC Symbol;Acc:HGNC:173]	3698	-0.2083989977836609	-0.1796352	No	
row_15	VPS37B	VPS37B subunit of ESCRT-I [Source:HGNC Symbol;Acc:HGNC:25754]	3752	-0.22379499673843384	-0.18173207	No	
row_16	LRTOMT	leucine rich transmembrane and O-methyltransferase domain containing [Source:HGNC Symbol;Acc:HGNC:25033]	3760	-0.22719000279903412	-0.18041322	No	
